Frame,Vehicles,Lane1,Lane2,Lane3,Entered,Exited,Density,Signal
46,18,5,8,5,0,5,HIGH,GREEN (60 sec)
47,19,5,8,6,0,5,HIGH,GREEN (60 sec)
48,19,5,9,5,0,5,HIGH,GREEN (60 sec)
49,16,4,7,5,0,5,MEDIUM,GREEN (40 sec)
50,17,4,8,5,0,5,MEDIUM,GREEN (40 sec)
51,18,4,9,5,0,5,HIGH,GREEN (60 sec)
52,17,4,8,5,0,5,MEDIUM,GREEN (40 sec)
53,18,4,9,5,0,5,HIGH,GREEN (60 sec)
54,17,4,8,5,0,5,MEDIUM,GREEN (40 sec)
55,17,4,8,5,0,5,MEDIUM,GREEN (40 sec)
56,16,4,7,5,0,6,MEDIUM,GREEN (40 sec)
57,18,4,9,5,0,7,HIGH,GREEN (60 sec)
58,18,4,9,5,0,7,HIGH,GREEN (60 sec)
59,19,4,10,5,0,7,HIGH,GREEN (60 sec)
60,18,4,8,6,0,7,HIGH,GREEN (60 sec)
61,18,4,8,6,0,8,HIGH,GREEN (60 sec)
62,18,5,8,5,0,8,HIGH,GREEN (60 sec)
63,18,5,8,5,0,8,HIGH,GREEN (60 sec)
64,20,5,10,5,0,8,HIGH,GREEN (60 sec)
65,20,5,10,5,0,8,HIGH,GREEN (60 sec)
66,21,4,11,6,0,8,HIGH,GREEN (60 sec)
67,22,5,11,6,0,9,HIGH,GREEN (60 sec)
68,21,4,10,7,0,9,HIGH,GREEN (60 sec)
69,22,4,10,8,0,10,HIGH,GREEN (60 sec)
70,19,5,8,6,0,10,HIGH,GREEN (60 sec)
71,20,5,8,7,0,10,HIGH,GREEN (60 sec)
72,19,5,7,7,0,11,HIGH,GREEN (60 sec)
73,20,5,8,7,0,11,HIGH,GREEN (60 sec)
74,20,5,8,7,0,11,HIGH,GREEN (60 sec)
75,19,5,8,6,0,11,HIGH,GREEN (60 sec)
76,18,5,7,6,0,11,HIGH,GREEN (60 sec)
77,19,5,8,6,0,11,HIGH,GREEN (60 sec)
78,19,5,8,6,0,12,HIGH,GREEN (60 sec)
79,20,5,8,7,0,12,HIGH,GREEN (60 sec)
80,19,5,8,6,0,12,HIGH,GREEN (60 sec)
81,20,5,8,7,0,12,HIGH,GREEN (60 sec)
82,21,5,8,8,0,12,HIGH,GREEN (60 sec)
83,19,5,8,6,0,12,HIGH,GREEN (60 sec)
84,23,6,9,8,0,12,HIGH,GREEN (60 sec)
85,21,5,9,7,0,12,HIGH,GREEN (60 sec)
86,22,5,9,8,0,12,HIGH,GREEN (60 sec)
87,21,4,10,7,0,12,HIGH,GREEN (60 sec)
88,21,4,10,7,0,12,HIGH,GREEN (60 sec)
89,21,3,11,7,0,12,HIGH,GREEN (60 sec)
90,22,4,11,7,0,12,HIGH,GREEN (60 sec)
91,22,4,11,7,0,12,HIGH,GREEN (60 sec)
92,24,6,11,7,0,13,HIGH,GREEN (60 sec)
93,23,6,10,7,0,13,HIGH,GREEN (60 sec)
94,24,6,11,7,0,13,HIGH,GREEN (60 sec)
95,25,6,11,8,0,13,HIGH,GREEN (60 sec)
96,23,6,9,8,0,13,HIGH,GREEN (60 sec)
97,22,6,8,8,0,13,HIGH,GREEN (60 sec)
98,21,6,9,6,0,13,HIGH,GREEN (60 sec)
99,20,5,9,6,0,13,HIGH,GREEN (60 sec)
100,18,6,6,6,0,13,HIGH,GREEN (60 sec)
101,20,7,6,7,0,14,HIGH,GREEN (60 sec)
102,19,7,6,6,0,15,HIGH,GREEN (60 sec)
103,19,7,6,6,0,15,HIGH,GREEN (60 sec)
104,19,7,6,6,0,15,HIGH,GREEN (60 sec)
105,19,8,5,6,0,15,HIGH,GREEN (60 sec)
106,20,8,6,6,0,15,HIGH,GREEN (60 sec)
107,19,8,5,6,0,15,HIGH,GREEN (60 sec)
108,19,8,5,6,0,15,HIGH,GREEN (60 sec)
109,18,7,5,6,0,15,HIGH,GREEN (60 sec)
110,21,9,6,6,0,16,HIGH,GREEN (60 sec)
111,20,8,6,6,0,16,HIGH,GREEN (60 sec)
112,18,6,6,6,0,16,HIGH,GREEN (60 sec)
113,16,5,6,5,0,16,MEDIUM,GREEN (40 sec)
114,16,5,6,5,0,17,MEDIUM,GREEN (40 sec)
115,17,5,7,5,0,17,MEDIUM,GREEN (40 sec)
116,17,5,7,5,0,17,MEDIUM,GREEN (40 sec)
117,17,5,7,5,0,17,MEDIUM,GREEN (40 sec)
118,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
119,15,5,6,4,0,18,MEDIUM,GREEN (40 sec)
120,14,3,7,4,0,18,MEDIUM,GREEN (40 sec)
121,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
122,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
123,15,4,7,4,0,18,MEDIUM,GREEN (40 sec)
124,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
125,15,4,7,4,0,18,MEDIUM,GREEN (40 sec)
126,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
127,15,5,6,4,0,18,MEDIUM,GREEN (40 sec)
128,15,5,6,4,0,18,MEDIUM,GREEN (40 sec)
129,17,5,7,5,0,18,MEDIUM,GREEN (40 sec)
130,18,5,8,5,0,18,HIGH,GREEN (60 sec)
131,17,5,7,5,0,18,MEDIUM,GREEN (40 sec)
132,17,5,7,5,0,18,MEDIUM,GREEN (40 sec)
133,16,5,6,5,0,18,MEDIUM,GREEN (40 sec)
134,17,6,6,5,0,18,MEDIUM,GREEN (40 sec)
135,17,5,7,5,0,18,MEDIUM,GREEN (40 sec)
136,17,5,7,5,0,18,MEDIUM,GREEN (40 sec)
137,18,5,8,5,0,18,HIGH,GREEN (60 sec)
138,18,5,8,5,0,18,HIGH,GREEN (60 sec)
139,18,5,8,5,0,18,HIGH,GREEN (60 sec)
140,19,5,9,5,0,18,HIGH,GREEN (60 sec)
141,18,5,9,4,0,18,HIGH,GREEN (60 sec)
142,18,5,9,4,0,18,HIGH,GREEN (60 sec)
143,17,5,8,4,0,18,MEDIUM,GREEN (40 sec)
144,16,5,7,4,0,18,MEDIUM,GREEN (40 sec)
145,18,5,8,5,0,18,HIGH,GREEN (60 sec)
146,19,5,9,5,0,18,HIGH,GREEN (60 sec)
147,17,5,8,4,0,18,MEDIUM,GREEN (40 sec)
148,17,5,8,4,0,18,MEDIUM,GREEN (40 sec)
149,14,5,7,2,0,18,MEDIUM,GREEN (40 sec)
150,15,5,7,3,0,18,MEDIUM,GREEN (40 sec)
151,15,5,7,3,0,18,MEDIUM,GREEN (40 sec)
152,15,4,8,3,0,18,MEDIUM,GREEN (40 sec)
153,13,4,7,2,0,18,MEDIUM,GREEN (40 sec)
154,13,4,7,2,0,18,MEDIUM,GREEN (40 sec)
155,15,4,9,2,0,19,MEDIUM,GREEN (40 sec)
156,14,4,8,2,0,19,MEDIUM,GREEN (40 sec)
157,16,4,10,2,0,19,MEDIUM,GREEN (40 sec)
158,18,4,12,2,0,19,HIGH,GREEN (60 sec)
159,17,4,10,3,0,19,MEDIUM,GREEN (40 sec)
160,19,4,12,3,0,19,HIGH,GREEN (60 sec)
161,19,4,12,3,0,19,HIGH,GREEN (60 sec)
162,18,4,12,2,0,19,HIGH,GREEN (60 sec)
163,17,4,12,1,0,19,MEDIUM,GREEN (40 sec)
164,17,4,12,1,0,19,MEDIUM,GREEN (40 sec)
165,18,4,13,1,0,19,HIGH,GREEN (60 sec)
166,16,4,11,1,0,19,MEDIUM,GREEN (40 sec)
167,15,4,9,2,0,19,MEDIUM,GREEN (40 sec)
168,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
169,15,5,8,2,0,20,MEDIUM,GREEN (40 sec)
170,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
171,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
172,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
173,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
174,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
175,16,5,9,2,0,20,MEDIUM,GREEN (40 sec)
176,17,5,10,2,0,21,MEDIUM,GREEN (40 sec)
177,15,5,8,2,0,21,MEDIUM,GREEN (40 sec)
178,17,5,10,2,0,21,MEDIUM,GREEN (40 sec)
179,18,5,10,3,0,21,HIGH,GREEN (60 sec)
180,20,5,11,4,0,21,HIGH,GREEN (60 sec)
181,21,5,12,4,0,21,HIGH,GREEN (60 sec)
182,20,5,11,4,0,21,HIGH,GREEN (60 sec)
183,21,5,11,5,0,21,HIGH,GREEN (60 sec)
184,19,5,10,4,0,21,HIGH,GREEN (60 sec)
185,20,5,11,4,0,21,HIGH,GREEN (60 sec)
186,18,5,10,3,0,21,HIGH,GREEN (60 sec)
187,16,5,9,2,0,21,MEDIUM,GREEN (40 sec)
188,17,5,8,4,0,21,MEDIUM,GREEN (40 sec)
189,17,5,8,4,0,21,MEDIUM,GREEN (40 sec)
190,18,5,7,6,0,21,HIGH,GREEN (60 sec)
191,19,5,8,6,0,22,HIGH,GREEN (60 sec)
192,17,5,6,6,0,22,MEDIUM,GREEN (40 sec)
193,19,5,8,6,0,22,HIGH,GREEN (60 sec)
194,17,5,7,5,0,22,MEDIUM,GREEN (40 sec)
195,19,5,9,5,0,22,HIGH,GREEN (60 sec)
196,21,5,9,7,0,22,HIGH,GREEN (60 sec)
197,18,4,8,6,0,22,HIGH,GREEN (60 sec)
198,18,4,9,5,0,22,HIGH,GREEN (60 sec)
199,18,4,8,6,0,22,HIGH,GREEN (60 sec)
200,18,4,8,6,0,22,HIGH,GREEN (60 sec)
201,18,4,8,6,0,22,HIGH,GREEN (60 sec)
202,19,5,7,7,0,22,HIGH,GREEN (60 sec)
203,16,4,5,7,0,22,MEDIUM,GREEN (40 sec)
204,16,4,5,7,0,23,MEDIUM,GREEN (40 sec)
205,17,4,7,6,0,23,MEDIUM,GREEN (40 sec)
206,16,4,6,6,0,23,MEDIUM,GREEN (40 sec)
207,16,4,6,6,0,23,MEDIUM,GREEN (40 sec)
208,17,4,7,6,0,23,MEDIUM,GREEN (40 sec)
209,17,4,7,6,0,23,MEDIUM,GREEN (40 sec)
210,17,4,8,5,0,23,MEDIUM,GREEN (40 sec)
211,18,4,8,6,0,23,HIGH,GREEN (60 sec)
212,14,3,6,5,0,23,MEDIUM,GREEN (40 sec)
213,14,3,6,5,0,23,MEDIUM,GREEN (40 sec)
214,17,4,8,5,0,23,MEDIUM,GREEN (40 sec)
215,16,4,7,5,0,23,MEDIUM,GREEN (40 sec)
216,16,4,7,5,0,23,MEDIUM,GREEN (40 sec)
217,17,4,7,6,0,24,MEDIUM,GREEN (40 sec)
218,16,4,5,7,0,24,MEDIUM,GREEN (40 sec)
219,13,4,3,6,0,24,MEDIUM,GREEN (40 sec)
220,15,4,4,7,0,24,MEDIUM,GREEN (40 sec)
221,16,4,5,7,0,24,MEDIUM,GREEN (40 sec)
222,17,4,6,7,0,24,MEDIUM,GREEN (40 sec)
223,16,4,6,6,0,24,MEDIUM,GREEN (40 sec)
224,18,4,6,8,0,24,HIGH,GREEN (60 sec)
225,16,4,5,7,0,24,MEDIUM,GREEN (40 sec)
226,16,4,6,6,0,24,MEDIUM,GREEN (40 sec)
227,16,4,6,6,0,25,MEDIUM,GREEN (40 sec)
228,18,5,6,7,0,25,HIGH,GREEN (60 sec)
229,17,5,6,6,0,25,MEDIUM,GREEN (40 sec)
230,18,5,6,7,0,25,HIGH,GREEN (60 sec)
231,18,5,7,6,0,25,HIGH,GREEN (60 sec)
232,18,5,7,6,0,25,HIGH,GREEN (60 sec)
233,18,5,7,6,0,25,HIGH,GREEN (60 sec)
234,18,4,8,6,0,25,HIGH,GREEN (60 sec)
235,17,4,7,6,0,26,MEDIUM,GREEN (40 sec)
236,19,4,8,7,0,26,HIGH,GREEN (60 sec)
237,19,4,8,7,0,26,HIGH,GREEN (60 sec)
238,17,4,6,7,0,26,MEDIUM,GREEN (40 sec)
239,18,5,6,7,0,26,HIGH,GREEN (60 sec)
240,20,5,8,7,0,26,HIGH,GREEN (60 sec)
241,21,5,9,7,0,26,HIGH,GREEN (60 sec)
242,19,5,8,6,0,26,HIGH,GREEN (60 sec)
243,20,5,8,7,0,26,HIGH,GREEN (60 sec)
244,20,5,7,8,0,26,HIGH,GREEN (60 sec)
245,19,5,7,7,0,26,HIGH,GREEN (60 sec)
246,19,5,7,7,0,26,HIGH,GREEN (60 sec)
247,21,5,8,8,0,26,HIGH,GREEN (60 sec)
248,21,5,8,8,0,26,HIGH,GREEN (60 sec)
249,21,5,8,8,0,26,HIGH,GREEN (60 sec)
250,22,5,8,9,0,26,HIGH,GREEN (60 sec)
251,20,5,7,8,0,26,HIGH,GREEN (60 sec)
252,19,5,6,8,0,26,HIGH,GREEN (60 sec)
253,19,4,7,8,0,26,HIGH,GREEN (60 sec)
254,17,3,6,8,0,26,MEDIUM,GREEN (40 sec)
255,16,3,5,8,0,26,MEDIUM,GREEN (40 sec)
256,17,3,6,8,0,26,MEDIUM,GREEN (40 sec)
257,17,4,5,8,0,26,MEDIUM,GREEN (40 sec)
258,18,4,6,8,0,27,HIGH,GREEN (60 sec)
259,17,4,5,8,0,27,MEDIUM,GREEN (40 sec)
260,19,4,7,8,0,27,HIGH,GREEN (60 sec)
261,17,3,7,7,0,27,MEDIUM,GREEN (40 sec)
262,18,3,7,8,0,27,HIGH,GREEN (60 sec)
263,18,4,7,7,0,28,HIGH,GREEN (60 sec)
264,17,3,7,7,0,28,MEDIUM,GREEN (40 sec)
265,17,3,7,7,0,28,MEDIUM,GREEN (40 sec)
266,17,3,7,7,0,28,MEDIUM,GREEN (40 sec)
267,17,4,7,6,0,28,MEDIUM,GREEN (40 sec)
268,18,4,8,6,0,28,HIGH,GREEN (60 sec)
269,18,4,8,6,0,28,HIGH,GREEN (60 sec)
270,20,4,10,6,0,28,HIGH,GREEN (60 sec)
271,20,4,10,6,0,28,HIGH,GREEN (60 sec)
272,19,4,9,6,0,28,HIGH,GREEN (60 sec)
273,19,4,9,6,0,28,HIGH,GREEN (60 sec)
274,17,4,7,6,0,28,MEDIUM,GREEN (40 sec)
275,18,4,8,6,0,28,HIGH,GREEN (60 sec)
276,17,4,7,6,0,28,MEDIUM,GREEN (40 sec)
277,17,4,7,6,0,28,MEDIUM,GREEN (40 sec)
278,18,4,8,6,0,28,HIGH,GREEN (60 sec)
279,18,4,7,7,0,29,HIGH,GREEN (60 sec)
280,18,4,7,7,0,29,HIGH,GREEN (60 sec)
281,19,4,8,7,0,29,HIGH,GREEN (60 sec)
282,18,4,7,7,0,29,HIGH,GREEN (60 sec)
283,18,4,7,7,0,29,HIGH,GREEN (60 sec)
284,17,4,7,6,0,29,MEDIUM,GREEN (40 sec)
285,18,4,7,7,0,29,HIGH,GREEN (60 sec)
286,18,4,7,7,0,29,HIGH,GREEN (60 sec)
287,19,5,7,7,0,29,HIGH,GREEN (60 sec)
288,19,5,8,6,0,29,HIGH,GREEN (60 sec)
289,21,5,10,6,0,29,HIGH,GREEN (60 sec)
290,21,5,10,6,0,29,HIGH,GREEN (60 sec)
291,20,4,10,6,0,29,HIGH,GREEN (60 sec)
292,20,5,9,6,0,29,HIGH,GREEN (60 sec)
293,21,6,8,7,0,29,HIGH,GREEN (60 sec)
294,20,5,8,7,0,29,HIGH,GREEN (60 sec)
295,19,4,8,7,0,29,HIGH,GREEN (60 sec)
296,19,5,7,7,0,29,HIGH,GREEN (60 sec)
297,20,5,8,7,0,29,HIGH,GREEN (60 sec)
298,20,5,8,7,0,29,HIGH,GREEN (60 sec)
299,19,5,7,7,0,29,HIGH,GREEN (60 sec)
300,20,6,7,7,0,29,HIGH,GREEN (60 sec)
301,21,6,8,7,0,29,HIGH,GREEN (60 sec)
302,21,6,8,7,0,29,HIGH,GREEN (60 sec)
303,19,4,8,7,0,29,HIGH,GREEN (60 sec)
304,20,5,8,7,0,30,HIGH,GREEN (60 sec)
305,19,5,7,7,0,30,HIGH,GREEN (60 sec)
306,20,5,7,8,0,31,HIGH,GREEN (60 sec)
307,21,5,8,8,0,31,HIGH,GREEN (60 sec)
308,19,5,7,7,0,31,HIGH,GREEN (60 sec)
309,19,5,7,7,0,31,HIGH,GREEN (60 sec)
310,21,5,8,8,0,31,HIGH,GREEN (60 sec)
311,21,5,8,8,0,31,HIGH,GREEN (60 sec)
312,21,5,8,8,0,31,HIGH,GREEN (60 sec)
313,20,5,8,7,0,31,HIGH,GREEN (60 sec)
314,21,5,7,9,0,31,HIGH,GREEN (60 sec)
315,21,5,7,9,0,31,HIGH,GREEN (60 sec)
316,20,5,7,8,0,31,HIGH,GREEN (60 sec)
317,21,5,7,9,0,31,HIGH,GREEN (60 sec)
318,21,5,7,9,0,31,HIGH,GREEN (60 sec)
319,21,5,7,9,0,31,HIGH,GREEN (60 sec)
320,18,5,6,7,0,31,HIGH,GREEN (60 sec)
321,18,5,6,7,0,31,HIGH,GREEN (60 sec)
322,20,5,6,9,0,31,HIGH,GREEN (60 sec)
323,19,5,5,9,0,31,HIGH,GREEN (60 sec)
324,18,5,5,8,0,31,HIGH,GREEN (60 sec)
325,17,4,5,8,0,31,MEDIUM,GREEN (40 sec)
326,19,4,5,10,0,31,HIGH,GREEN (60 sec)
327,18,4,6,8,0,31,HIGH,GREEN (60 sec)
328,19,5,6,8,0,31,HIGH,GREEN (60 sec)
329,19,5,6,8,0,31,HIGH,GREEN (60 sec)
330,19,5,6,8,0,31,HIGH,GREEN (60 sec)
331,19,5,6,8,0,31,HIGH,GREEN (60 sec)
332,21,5,7,9,0,31,HIGH,GREEN (60 sec)
333,20,5,7,8,0,31,HIGH,GREEN (60 sec)
334,19,5,7,7,0,31,HIGH,GREEN (60 sec)
335,19,5,7,7,0,34,HIGH,GREEN (60 sec)
336,19,5,7,7,0,34,HIGH,GREEN (60 sec)
337,19,5,7,7,0,34,HIGH,GREEN (60 sec)
338,18,5,7,6,0,34,HIGH,GREEN (60 sec)
339,18,5,7,6,0,34,HIGH,GREEN (60 sec)
340,18,5,7,6,0,34,HIGH,GREEN (60 sec)
341,18,5,7,6,0,34,HIGH,GREEN (60 sec)
342,19,5,8,6,0,34,HIGH,GREEN (60 sec)
343,20,5,9,6,0,34,HIGH,GREEN (60 sec)
344,20,5,9,6,0,34,HIGH,GREEN (60 sec)
345,19,5,8,6,0,34,HIGH,GREEN (60 sec)
346,20,5,8,7,0,34,HIGH,GREEN (60 sec)
347,21,5,9,7,0,34,HIGH,GREEN (60 sec)
348,22,5,10,7,0,34,HIGH,GREEN (60 sec)
349,22,5,10,7,0,34,HIGH,GREEN (60 sec)
350,22,5,10,7,0,35,HIGH,GREEN (60 sec)
351,21,5,10,6,0,35,HIGH,GREEN (60 sec)
352,22,5,10,7,0,35,HIGH,GREEN (60 sec)
353,21,4,10,7,0,35,HIGH,GREEN (60 sec)
354,22,5,10,7,0,35,HIGH,GREEN (60 sec)
355,21,4,10,7,0,35,HIGH,GREEN (60 sec)
356,20,4,9,7,0,35,HIGH,GREEN (60 sec)
357,20,4,9,7,0,35,HIGH,GREEN (60 sec)
358,21,4,10,7,0,35,HIGH,GREEN (60 sec)
359,22,4,11,7,0,35,HIGH,GREEN (60 sec)
360,19,4,8,7,0,35,HIGH,GREEN (60 sec)
361,17,4,7,6,0,35,MEDIUM,GREEN (40 sec)
362,17,4,7,6,0,35,MEDIUM,GREEN (40 sec)
363,20,5,9,6,0,35,HIGH,GREEN (60 sec)
364,21,5,10,6,0,35,HIGH,GREEN (60 sec)
365,21,5,10,6,0,35,HIGH,GREEN (60 sec)
366,21,5,10,6,0,35,HIGH,GREEN (60 sec)
367,22,5,11,6,0,35,HIGH,GREEN (60 sec)
368,21,5,10,6,0,35,HIGH,GREEN (60 sec)
369,19,5,8,6,0,35,HIGH,GREEN (60 sec)
370,18,5,7,6,0,35,HIGH,GREEN (60 sec)
371,17,5,6,6,0,35,MEDIUM,GREEN (40 sec)
372,18,5,7,6,0,35,HIGH,GREEN (60 sec)
373,18,4,8,6,0,35,HIGH,GREEN (60 sec)
374,18,4,8,6,0,35,HIGH,GREEN (60 sec)
375,20,4,10,6,0,35,HIGH,GREEN (60 sec)
376,19,4,9,6,0,35,HIGH,GREEN (60 sec)
377,19,4,10,5,0,35,HIGH,GREEN (60 sec)
378,19,5,9,5,0,36,HIGH,GREEN (60 sec)
379,18,5,8,5,0,36,HIGH,GREEN (60 sec)
380,17,5,7,5,0,36,MEDIUM,GREEN (40 sec)
381,17,6,6,5,0,36,MEDIUM,GREEN (40 sec)
382,18,6,7,5,0,36,HIGH,GREEN (60 sec)
383,18,6,7,5,0,36,HIGH,GREEN (60 sec)
384,18,6,7,5,0,36,HIGH,GREEN (60 sec)
385,20,6,9,5,0,36,HIGH,GREEN (60 sec)
386,21,7,9,5,0,36,HIGH,GREEN (60 sec)
387,22,7,10,5,0,36,HIGH,GREEN (60 sec)
388,24,7,12,5,0,38,HIGH,GREEN (60 sec)
389,24,6,13,5,0,38,HIGH,GREEN (60 sec)
390,26,7,14,5,0,38,HIGH,GREEN (60 sec)
391,25,6,14,5,0,38,HIGH,GREEN (60 sec)
392,23,5,13,5,0,38,HIGH,GREEN (60 sec)
393,24,5,13,6,0,38,HIGH,GREEN (60 sec)
394,22,6,10,6,0,38,HIGH,GREEN (60 sec)
395,22,6,10,6,0,38,HIGH,GREEN (60 sec)
396,19,5,8,6,0,38,HIGH,GREEN (60 sec)
397,20,5,9,6,0,38,HIGH,GREEN (60 sec)
398,21,5,9,7,0,38,HIGH,GREEN (60 sec)
399,21,5,9,7,0,38,HIGH,GREEN (60 sec)
400,21,5,9,7,0,38,HIGH,GREEN (60 sec)
401,21,5,9,7,0,38,HIGH,GREEN (60 sec)
402,20,5,9,6,0,38,HIGH,GREEN (60 sec)
403,20,5,9,6,0,38,HIGH,GREEN (60 sec)
404,20,5,9,6,0,38,HIGH,GREEN (60 sec)
405,21,5,9,7,0,38,HIGH,GREEN (60 sec)
406,21,5,9,7,0,38,HIGH,GREEN (60 sec)
407,21,5,10,6,0,38,HIGH,GREEN (60 sec)
408,22,5,11,6,0,38,HIGH,GREEN (60 sec)
409,21,5,10,6,0,38,HIGH,GREEN (60 sec)
410,22,5,11,6,0,38,HIGH,GREEN (60 sec)
411,23,5,12,6,0,38,HIGH,GREEN (60 sec)
412,23,5,12,6,0,38,HIGH,GREEN (60 sec)
413,21,5,10,6,0,39,HIGH,GREEN (60 sec)
414,21,4,11,6,0,39,HIGH,GREEN (60 sec)
415,19,4,8,7,0,39,HIGH,GREEN (60 sec)
416,19,4,8,7,0,39,HIGH,GREEN (60 sec)
417,21,4,10,7,0,39,HIGH,GREEN (60 sec)
418,22,4,11,7,0,39,HIGH,GREEN (60 sec)
419,22,5,10,7,0,39,HIGH,GREEN (60 sec)
420,22,5,10,7,0,39,HIGH,GREEN (60 sec)
421,21,5,9,7,0,39,HIGH,GREEN (60 sec)
422,22,5,9,8,0,39,HIGH,GREEN (60 sec)
423,21,5,9,7,0,39,HIGH,GREEN (60 sec)
424,21,5,10,6,0,39,HIGH,GREEN (60 sec)
425,19,4,9,6,0,39,HIGH,GREEN (60 sec)
426,20,4,9,7,0,39,HIGH,GREEN (60 sec)
427,20,4,9,7,0,39,HIGH,GREEN (60 sec)
428,20,4,9,7,0,39,HIGH,GREEN (60 sec)
429,20,5,8,7,0,39,HIGH,GREEN (60 sec)
430,22,5,10,7,0,40,HIGH,GREEN (60 sec)
431,23,5,11,7,0,40,HIGH,GREEN (60 sec)
432,23,5,11,7,0,40,HIGH,GREEN (60 sec)
433,23,5,11,7,0,40,HIGH,GREEN (60 sec)
434,22,5,10,7,0,40,HIGH,GREEN (60 sec)
435,22,5,10,7,0,40,HIGH,GREEN (60 sec)
436,23,5,11,7,0,40,HIGH,GREEN (60 sec)
437,21,5,9,7,0,40,HIGH,GREEN (60 sec)
438,21,4,10,7,0,40,HIGH,GREEN (60 sec)
439,21,4,11,6,0,40,HIGH,GREEN (60 sec)
440,21,4,11,6,0,41,HIGH,GREEN (60 sec)
441,21,4,11,6,0,41,HIGH,GREEN (60 sec)
442,20,4,10,6,0,41,HIGH,GREEN (60 sec)
443,20,4,10,6,0,41,HIGH,GREEN (60 sec)
444,21,4,11,6,0,41,HIGH,GREEN (60 sec)
445,21,4,11,6,0,41,HIGH,GREEN (60 sec)
446,20,4,10,6,0,42,HIGH,GREEN (60 sec)
447,21,4,11,6,0,42,HIGH,GREEN (60 sec)
448,20,4,10,6,0,42,HIGH,GREEN (60 sec)
449,21,4,11,6,0,42,HIGH,GREEN (60 sec)
450,21,4,11,6,0,42,HIGH,GREEN (60 sec)
451,19,4,9,6,0,42,HIGH,GREEN (60 sec)
452,20,4,11,5,0,42,HIGH,GREEN (60 sec)
453,20,4,11,5,0,42,HIGH,GREEN (60 sec)
454,22,4,12,6,0,42,HIGH,GREEN (60 sec)
